model,object,train_mae,train_mse,train_r2,train_rmse,train_mape,test_mae,test_mse,test_r2,test_rmse,test_mape
generation,solar_30k,0.9010058579598548,2.368357147692407,0.9149013680766933,1.5389467657110192,725704013087506.4,1.0442163869013639,3.0238567985798466,0.9215828781935974,1.7389240347352286,512945673883847.3
generation,solar_5k,0.19174768456637536,0.10475837033733201,0.8804647405847772,0.32366397750959564,227651738757773.97,0.16058368118635136,0.0675405331605628,0.9198470846941296,0.2598856155322237,183588262890672.72
consumption,1,0.05686408722312911,0.009722270479677657,0.3325802405718675,0.09860157442798596,1.3571805610483967,0.05206276775742629,0.005649940050795683,0.42032296527118707,0.07516608311463145,1.0337722164881757
consumption,5,0.09295451853708452,0.03699296546875745,0.20112625076458823,0.19233555435425206,0.9497011004461156,0.07798330257647422,0.02589322944871412,0.24112309596161452,0.16091373294008848,0.4991604871239337
