id,number_of_epochs,model,architecture,object,optimizer,loss,learning_rate,sequence_len,number_of_layers,test_r2
28,50,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,4,0.854672
28,100,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,4,0.924267
28,200,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,4,0.926489
28,400,Generation,LSTM,solar_30k,Adam,MAE,0.0001,24,4,0.940899
29,50,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,2,0.919854
29,100,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,2,0.931361
29,200,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,2,0.940119
29,400,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,2,0.950751
30,50,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,4,0.885161
30,100,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,4,0.908862
30,200,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,4,0.907475
30,400,Generation,LSTM,solar_30k,Adam,MAE,0.0001,36,4,0.910662
31,50,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,2,0.929917
31,100,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,2,0.950046
31,200,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,2,0.955516
31,400,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,2,0.962419
32,50,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,4,0.929245
32,100,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,4,0.945512
32,200,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,4,0.95399
32,400,Generation,GRU,solar_30k,Adam,MAE,0.0001,12,4,0.961825
33,50,Generation,GRU,solar_30k,Adam,MAE,0.0001,24,2,0.942616
33,100,Generation,GRU,solar_30k,Adam,MAE,0.0001,24,2,0.952708
33,200,Generation,GRU,solar_30k,Adam,MAE,0.0001,24,2,0.956104
33,400,Generation,GRU,solar_30k,Adam,MAE,0.0001,24,2,0.963006
34,50,Generation,GRU,solar_30k,Adam,MAE,0.0001,24,4,0.933198
34,100,Generation,GRU,solar_30k,Adam,MAE,0.0001,24,4,0.953771
34,200,Generation,GRU,solar_30k,Adam,MAE,0.0001,24,4,0.957671
34,400,Generation,GRU,solar_30k,Adam,MAE,0.0001,24,4,0.963178
35,50,Generation,GRU,solar_30k,Adam,MAE,0.0001,36,2,0.937832
35,100,Generation,GRU,solar_30k,Adam,MAE,0.0001,36,2,0.952293
35,200,Generation,GRU,solar_30k,Adam,MAE,0.0001,36,2,0.957146
35,400,Generation,GRU,solar_30k,Adam,MAE,0.0001,36,2,0.960743
36,50,Generation,GRU,solar_30k,Adam,MAE,0.0001,36,4,0.929225
36,100,Generation,GRU,solar_30k,Adam,MAE,0.0001,36,4,0.95275
36,200,Generation,GRU,solar_30k,Adam,MAE,0.0001,36,4,0.957805
36,400,Generation,GRU,solar_30k,Adam,MAE,0.0001,36,4,0.963941
37,50,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.001,1,2,0.947185
37,100,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.001,1,2,0.94273
37,200,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.001,1,2,0.93005
37,400,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.001,1,2,0.927595
38,50,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.001,1,4,0.952355
38,100,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.001,1,4,0.931697
38,200,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.001,1,4,0.942258
38,400,Generation,FEEDFORWARD,solar_30k,Adam,MSE,0.001,1,4,0.89771
43,50,Generation,LSTM,solar_30k,Adam,MSE,0.001,12,2,0.949857
43,100,Generation,LSTM,solar_30k,Adam,MSE,0.001,12,2,0.954462
43,200,Generation,LSTM,solar_30k,Adam,MSE,0.001,12,2,0.945028
43,400,Generation,LSTM,solar_30k,Adam,MSE,0.001,12,2,0.927755
44,50,Generation,LSTM,solar_30k,Adam,MSE,0.001,12,4,0.93227
44,100,Generation,LSTM,solar_30k,Adam,MSE,0.001,12,4,0.945916
44,200,Generation,LSTM,solar_30k,Adam,MSE,0.001,12,4,0.935484
44,400,Generation,LSTM,solar_30k,Adam,MSE,0.001,12,4,0.921958
45,50,Generation,LSTM,solar_30k,Adam,MSE,0.001,24,2,0.949021
45,100,Generation,LSTM,solar_30k,Adam,MSE,0.001,24,2,0.943423
45,200,Generation,LSTM,solar_30k,Adam,MSE,0.001,24,2,0.912549
45,400,Generation,LSTM,solar_30k,Adam,MSE,0.001,24,2,0.902433
46,50,Generation,LSTM,solar_30k,Adam,MSE,0.001,24,4,0.924042
46,100,Generation,LSTM,solar_30k,Adam,MSE,0.001,24,4,0.932739
46,200,Generation,LSTM,solar_30k,Adam,MSE,0.001,24,4,0.918936
46,400,Generation,LSTM,solar_30k,Adam,MSE,0.001,24,4,0.914372
47,50,Generation,LSTM,solar_30k,Adam,MSE,0.001,36,2,0.944287
47,100,Generation,LSTM,solar_30k,Adam,MSE,0.001,36,2,0.940741
47,200,Generation,LSTM,solar_30k,Adam,MSE,0.001,36,2,0.90894
47,400,Generation,LSTM,solar_30k,Adam,MSE,0.001,36,2,0.904419
48,50,Generation,LSTM,solar_30k,Adam,MSE,0.001,36,4,0.928608
48,100,Generation,LSTM,solar_30k,Adam,MSE,0.001,36,4,0.917094
48,200,Generation,LSTM,solar_30k,Adam,MSE,0.001,36,4,0.897813
